OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
27504,NonResidential,1.0,2.0,47.53651,-122.32954,Non-Refrigerated Warehouse,23400.0,0.0,23400.0,20002.0,444610.95314999996,3.1,1.0,0.0,52
27532,NonResidential,1.0,2.0,47.62518,-122.35317,Other,30720.0,0.0,30720.0,28120.0,1770546.625,72.0,1.0,0.0,68
27553,NonResidential,1.0,1.0,47.56626,-122.3244,Non-Refrigerated Warehouse,23232.0,0.0,23232.0,23232.0,151171.5,1.055,1.0,0.0,44
27554,NonResidential,1.0,1.0,47.56501,-122.3248,Non-Refrigerated Warehouse,35046.0,0.0,35046.0,32546.0,1046709.5625,17.325,1.0,0.0,42
27561,NonResidential,1.0,1.0,47.56477,-122.32628,Refrigerated Warehouse,25577.0,0.0,25577.0,13349.0,937868.34375,14.765,1.0,0.0,55
27562,NonResidential,1.0,1.0,47.56448,-122.32484,Non-Refrigerated Warehouse,43380.0,0.0,43380.0,42844.0,417781.0,2.91,1.0,0.0,42
27567,NonResidential,1.0,3.0,47.65576,-122.34208,Office,20410.0,0.0,20410.0,20410.0,2367241.625,62.725,1.0,0.0,21
27587,NonResidential,1.0,3.0,47.70349,-122.33424,Office,24696.0,6300.0,18396.0,18396.0,621245.8125,4.33,0.74,0.26,33
27597,SPS-District K-12,1.0,1.0,47.71487,-122.32959,Education,45174.0,0.0,45174.0,45174.0,1920454.625,68.13499999999999,1.0,0.0,60
27598,NonResidential,1.0,1.0,47.71479,-122.32824,Loisirs,24955.0,0.0,24955.0,24955.0,660228.0,20.520000000000003,1.0,0.0,14
27639,NonResidential,1.0,2.0,47.62526703,-122.35187531,Loisirs,23098.0,0.0,23098.0,23098.0,3058638.0,95.2,1.0,0.0,7
27668,NonResidential,1.0,3.0,47.62342,-122.29688,Other/Specialty Hospital,34074.0,0.0,34074.0,34074.0,6385973.0,175.27499999999998,1.0,0.0,25
27673,NonResidential,1.0,10.0,47.60505,-122.3361,Hotel/Senior Care/Housing,392552.0,22225.0,370327.0,198400.0,18875939.0,482.86,0.94,0.06,10
27703,NonResidential,1.0,2.0,47.71856,-122.32084,Loisirs,76475.0,0.0,76475.0,45442.0,1691617.3125,61.989999999999995,1.0,0.0,55
27704,NonResidential,1.0,2.0,47.71923,-122.32171,Education,32961.0,0.0,32961.0,32961.0,1709111.5,62.15,1.0,0.0,28
27721,Nonresidential COS,1.0,1.0,47.6875,-122.35496,Education,27376.0,14570.0,12806.0,12806.0,1101596.0625,27.595,0.47,0.53,12
27799,Campus,1.0,1.0,47.62291,-122.28879,Education,109794.0,0.0,109794.0,109794.0,2745919.625,112.565,1.0,0.0,66
27816,NonResidential,1.0,3.0,47.61796,-122.30847,Hotel/Senior Care,25200.0,0.0,25200.0,25200.0,1177196.125,49.205,1.0,0.0,105
