OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,ENERGYSTARScore,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
26319,SPS-District K-12,1.0,2.0,47.53074,-122.28491,Education,52901.0,0.0,52901.0,52901.0,2113363.0,55.59,75.0,1.0,0.0,45
26324,NonResidential,1.0,1.0,47.70883,-122.28887,Hotel/Senior Care,22583.0,0.0,22583.0,22583.0,1955185.5,68.155,95.0,1.0,0.0,62
26331,NonResidential,1.0,3.0,47.66117,-122.3391,Office,31686.0,7358.0,24328.0,25927.0,2178572.25,15.185,35.0,0.77,0.23,19
26348,NonResidential,1.0,3.0,47.6483,-122.33438,Office,26694.0,6034.0,20660.0,24914.0,687417.34375,4.789999999999999,92.0,0.77,0.23,35
26359,NonResidential,1.0,1.0,47.70833,-122.34429,Non-Refrigerated Warehouse,29400.0,0.0,29400.0,25000.0,228937.25,1.6,69.0,1.0,0.0,44
26379,NonResidential,1.0,3.0,47.54774,-122.32091,Hotel/Senior Care/Housing,22452.0,0.0,22452.0,22452.0,1299184.5,43.295,85.0,1.0,0.0,24
26392,NonResidential,1.0,2.0,47.66148,-122.31279,Office,25767.0,0.0,25767.0,17434.0,1612792.875,11.24,22.0,1.0,0.0,104
26393,NonResidential,1.0,4.0,47.66188,-122.31279,Commerce,33910.0,0.0,33910.0,14585.0,1838052.625,37.129999999999995,75.0,1.0,0.0,63
26460,NonResidential,1.0,2.0,47.64748,-122.33435,Non-Refrigerated Warehouse,78716.0,0.0,78716.0,41275.0,4388813.875,47.045,38.0,1.0,0.0,37
26465,NonResidential,1.0,2.0,47.66389,-122.33692,Education,33300.0,0.0,33300.0,30740.0,1562738.8125,68.41,92.0,1.0,0.0,106
26473,NonResidential,1.0,1.0,47.66185,-122.33594,Commerce,28808.0,0.0,28808.0,31174.0,9425237.0,237.51,29.0,1.0,0.0,59
26528,NonResidential,1.0,1.0,47.66345,-122.3134,Office,27966.0,7004.0,20962.0,20962.0,1101017.875,7.675,58.0,0.75,0.25,59
26529,NonResidential,1.0,1.0,47.66429,-122.31389,Commerce,26226.0,0.0,26226.0,25828.0,7540499.75,152.215,37.0,1.0,0.0,66
26535,NonResidential,1.0,2.0,47.6616,-122.31393,Office,34948.0,15755.0,19193.0,19183.0,1130191.0625,7.88,17.0,0.55,0.45,40
26593,NonResidential,1.0,4.0,47.60102,-122.33378,Office,22840.0,0.0,22840.0,18400.0,899950.09375,6.27,64.0,1.0,0.0,116
26596,NonResidential,1.0,1.0,47.6011,-122.33197,Office,20880.0,0.0,20880.0,20880.0,1380822.0,31.724999999999998,94.0,1.0,0.0,116
26611,NonResidential,1.0,2.0,47.5195,-122.26935,Santé,25880.0,0.0,25880.0,25880.0,1889924.875,20.795,8.0,1.0,0.0,6
26670,NonResidential,1.0,3.0,47.67842,-122.31949,Loisirs,46485.0,0.0,46485.0,63922.0,1656237.875,47.14,83.0,1.0,0.0,66
26681,NonResidential,1.0,4.0,47.67819,-122.3231,Office,56896.0,8064.0,48832.0,40768.0,1649614.25,28.94,96.0,0.86,0.14,51
26695,NonResidential,1.0,2.0,47.67783,-122.32577,Loisirs,27500.0,0.0,27500.0,27500.0,545505.5625,13.969999999999999,60.0,1.0,0.0,38
26705,NonResidential,1.0,2.0,47.59856,-122.33248,Office,36630.0,0.0,36630.0,22000.0,534873.15625,3.73,90.0,1.0,0.0,86
26708,NonResidential,1.0,5.0,47.59971,-122.33065,Office,41920.0,0.0,41920.0,41920.0,1173438.375,8.18,95.0,1.0,0.0,110
26710,NonResidential,1.0,5.0,47.60048,-122.33157,Office,36879.0,0.0,36879.0,36665.5,1150317.625,23.94,92.0,1.0,0.0,111
